timestamp_utc,mode,load,rep,slice,app_class,topology_type,controller_port,bottleneck_capacity_mbps,bottleneck_delay_ms,bottleneck_queue_packets,offered_background_mbps,tcp_inference_port,udp_probe_port,slice_priority,slice_queue_id,slice_min_rate_mbps,slice_max_rate_mbps,udp_probe_rate_mbps,tcp_flow_seconds,udp_probe_seconds,tcp_valid_measurement,tcp_throughput_mbps,udp_probe_throughput_mbps,udp_jitter_ms,udp_loss_pct,udp_pdr,udp_packets,udp_lost_packets,udp_valid_measurement,udp_error,sla_jitter_ms_max,sla_loss_pct_max,sla_pdr_min,sla_throughput_mbps_min,sla_jitter_met,sla_loss_met,sla_pdr_met,sla_throughput_met,sla_all_met,sla_violation
2026-09-16T16:40:35Z,baseline_sdn_iot,light,1,autonomous,Safety-critical autonomous-driving inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8090,9090,400,1,8.0,15.0,0.3,30,8,1,4.19,0.313,1.419,1.4,0.986,217,3,1,,5.0,1.0,0.99,8.0,1,0,0,0,0,1
2026-09-16T16:40:35Z,baseline_sdn_iot,light,1,healthcare,Mission-critical healthcare inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8091,9091,300,2,6.0,10.0,0.25,30,8,1,5.24,0.262,1.587,1.1,0.989,182,2,1,,8.0,1.0,0.99,6.0,1,0,0,0,0,1
2026-09-16T16:40:35Z,baseline_sdn_iot,light,1,industrial,Periodic industrial monitoring inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8092,9092,200,3,3.0,6.0,0.2,30,8,1,8.39,0.211,1.783,0.68,0.9932,146,1,1,,15.0,3.0,0.97,3.0,1,1,1,1,1,0
2026-09-16T16:42:31Z,baseline_sdn_iot,light,1,autonomous,Safety-critical autonomous-driving inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8090,9090,400,1,8.0,15.0,0.3,30,8,1,5.58,0.313,1.591,1.4,0.986,217,3,1,,5.0,1.0,0.99,8.0,1,0,0,0,0,1
2026-09-16T16:42:31Z,baseline_sdn_iot,light,1,healthcare,Mission-critical healthcare inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8091,9091,300,2,6.0,10.0,0.25,30,8,1,7.34,0.264,1.875,0.55,0.9945,182,1,1,,8.0,1.0,0.99,6.0,1,1,1,1,1,0
2026-09-16T16:42:31Z,baseline_sdn_iot,light,1,industrial,Periodic industrial monitoring inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8092,9092,200,3,3.0,6.0,0.2,30,8,1,4.19,0.20800000000000002,2.068,2.1,0.979,146,3,1,,15.0,3.0,0.97,3.0,1,1,1,1,1,0
2026-09-16T16:45:39Z,baseline_sdn_iot,light,1,autonomous,Safety-critical autonomous-driving inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8090,9090,400,1,8.0,15.0,0.3,30,8,1,4.19,0.313,1.658,1.4,0.986,217,3,1,,5.0,1.0,0.99,8.0,1,0,0,0,0,1
2026-09-16T16:45:39Z,baseline_sdn_iot,light,1,healthcare,Mission-critical healthcare inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8091,9091,300,2,6.0,10.0,0.25,30,8,1,6.29,0.265,1.837,0.0,1.0,182,0,1,,8.0,1.0,0.99,6.0,1,1,1,1,1,0
2026-09-16T16:45:39Z,baseline_sdn_iot,light,1,industrial,Periodic industrial monitoring inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8092,9092,200,3,3.0,6.0,0.2,30,8,1,5.5,0.21,2.277,1.4,0.986,146,2,1,,15.0,3.0,0.97,3.0,1,1,1,1,1,0
2026-09-16T16:50:40Z,baseline_sdn_iot,light,1,autonomous,Safety-critical autonomous-driving inference,concurrent_multisource_classic_iperf,6633,20.0,3.0,30,2.0,8090,9090,400,1,8.0,15.0,0.3,30,8,1,4.19,0.313,1.376,1.4,0.986,217,3,1,,5.0,1.0,0.99,8.0,1,0,0,0,0,1
