timestamp_utc,cycle,mode,load,slice,app_class,path_id,src_host,dst_ip,dst_port,snr_db,link_capacity_mbps,rtt_min_ms,rtt_avg_ms,rtt_max_ms,jitter_ms,loss_percent,pdr,throughput_mbps,tcp_retransmits,available_bandwidth_mbps,sla_latency_ms,sla_jitter_ms,sla_loss_percent,sla_pdr_min,sla_throughput_mbps,sla_latency_met,sla_jitter_met,sla_loss_met,sla_pdr_met,sla_throughput_met,sla_all_met,sla_violation,ping_returncode,iperf_returncode
2026-09-16T16:35:13.474752,1,baseline,light,autonomous,safety_critical,path_A,h1,10.0.0.2,8090,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,25.0,5.0,1.0,0.99,8.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:13.535329,1,baseline,light,healthcare,mission_critical,path_A,h1,10.0.0.2,8091,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,40.0,8.0,1.0,0.99,6.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:13.592779,1,baseline,light,industrial,periodic_monitoring,path_A,h1,10.0.0.2,8092,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,60.0,15.0,3.0,0.97,3.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:13.649499,2,baseline,light,autonomous,safety_critical,path_A,h1,10.0.0.2,8090,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,25.0,5.0,1.0,0.99,8.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:13.710021,2,baseline,light,healthcare,mission_critical,path_A,h1,10.0.0.2,8091,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,40.0,8.0,1.0,0.99,6.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:13.769168,2,baseline,light,industrial,periodic_monitoring,path_A,h1,10.0.0.2,8092,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,60.0,15.0,3.0,0.97,3.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:13.827898,3,baseline,light,autonomous,safety_critical,path_A,h1,10.0.0.2,8090,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,25.0,5.0,1.0,0.99,8.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:13.886839,3,baseline,light,healthcare,mission_critical,path_A,h1,10.0.0.2,8091,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,40.0,8.0,1.0,0.99,6.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:13.947217,3,baseline,light,industrial,periodic_monitoring,path_A,h1,10.0.0.2,8092,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,60.0,15.0,3.0,0.97,3.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:14.006949,4,baseline,light,autonomous,safety_critical,path_A,h1,10.0.0.2,8090,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,25.0,5.0,1.0,0.99,8.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:14.066721,4,baseline,light,healthcare,mission_critical,path_A,h1,10.0.0.2,8091,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,40.0,8.0,1.0,0.99,6.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:14.124664,4,baseline,light,industrial,periodic_monitoring,path_A,h1,10.0.0.2,8092,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,60.0,15.0,3.0,0.97,3.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:14.183365,5,baseline,light,autonomous,safety_critical,path_A,h1,10.0.0.2,8090,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,25.0,5.0,1.0,0.99,8.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:14.243226,5,baseline,light,healthcare,mission_critical,path_A,h1,10.0.0.2,8091,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,40.0,8.0,1.0,0.99,6.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:14.299917,5,baseline,light,industrial,periodic_monitoring,path_A,h1,10.0.0.2,8092,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,60.0,15.0,3.0,0.97,3.0,0,0,0,0,0,0,1,127,127
2026-09-16T16:35:14.357638,6,baseline,light,autonomous,safety_critical,path_A,h1,10.0.0.2,8090,30.0,25.0,nan,nan,nan,nan,100.0,0.0,nan,-1,nan,25.0,5.0,1.0,0.99,8.0,0,0,0,0,0,0,1,127,127
